file_path,file_hash,file_size
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Holland_Map_Imagery_A.jpg,722232fca69d087c7b7d318036af8b77058b83ff0244f10910b05bfbb885dd72,958004
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Imagery_09222001_fdny.jpg,9a7bc00cf27273f393dd24de7ed3ee8c9bbf433b672db6e26bbeb5b4285b4996,1180722
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Lincoln_Map_A.jpg,657ba9343bdeb3f60e5ee7ebd73d4631024aecf1e849d7ae7c8a05dabc935593,381729
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Lincoln_Map_Imagery_A.jpg,a98bf823acb602409cbadf8945435fd7558c64d33030c2b602c9bc5e7026b037,851373
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/MN_Staging_Areas2.jpg,570996d6a4cc0b6170a7e707772515c5d78ad739d2239de639be424208b006b0,2301203
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Marine_Parkway_Map_A.jpg,34caae5397a3829e82bec404a9426222a7ce69218b52e2e3e549119e7f174100,307249
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Marine_Parkway_Map_Imagery_A.jpg,f183bd075efc28f5c5b19dab459819e7f9f04cd97d8d48723fe4e064dabd7ed5,668352
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/NewProposedZone_101301.jpg,c263f4d4a5c826d1deea3f539d3cee10ecc28834fe6b977b0e2b55ceb3d47f90,6484980
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/NewRestrictedZone.jpg,e37e9a02471a29c6efcdb595593a9ef9a0e14783f5bfa002b9f6de4224082ae7,778127
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/NewRestrictedZoneA.jpg,75c106c19badef63b5d7902d11cdb0763c292e3c8854585d52f08147da2bc095,845014
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Outerbridge_Map_A.jpg,ad427073dc5ab724b49cf8afbb5628ac9039c2e908d2abb070b896503a7e50da,329976
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Outerbridge_Map_Imagery_A.jpg,0bb29dcf608862625624c770c0ec6be5383eb110a60461c711b5593f63bcc52d,859842
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Parking_Vacant_Land.jpg,d88ac5fbb5c0d3356a33f6848939bb9d5377e4434519182bf0968e766636644b,1614925
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0918_1800Hrs_A-2.jpg,4d3083ceb5c09c7699e80a270d45027bca93444eb8c0cb3ad9f20de5cb8aaf54,566636
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0918_1800Hrs_A.jpg,b028161c147b6df0d540fd240d2181c537f7fc10f150238668d9726dba9f08bd,566767
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0925_1600Hrswcp_Web2.jpg,a89bb993b63a9b8222d3b46613ce7b3e3d9f6e70f077151d83df27c95b7cd60b,601501
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0927_1700Hrswcp_Web.jpg,60ebfac94cb2312d3a7b8a07b7b562d846f4f040eba29afbab99128352e32247,591183
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0928MB.jpg,fcbe28d766152ed4a98e13b0cc26d1bbe9aa06fb67e4b80e84f2d31981f0f4b1,827917
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_0928_0800.jpg,f950f5d8da626f1d27495d1d631169b5b6c63f04bc731c58fa18ddb5ecd097c7,673018
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_1002_150dpi.jpg,4533993e0066c26c039e642bad49cd589ae8be19fd45bc68e17466cf470e8eb8,1123985
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_1004.jpg,afd40be4ba3da119a7a03e5915c17da21b03f67a99cdfc77c775ec555910d82c,596993
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Ped+Car_Restrictions_1004_0800.jpg,75ff82ba97d93fb7c3c8f25f4867ef71b1dd97c3cbaa33f5c140c1ac57ed1db4,1733172
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Queens_Midtown_Map_A.jpg,fc78bdecaa23c87cd473c5b292e4675b6ca7e4c103dc21870af9349e4c446013,602227
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Queens_Midtown_Map_Imagery_A.jpg,1a36c36bb8f8554734bf2bfc929d13e4f7e0f13159bc74a3f0a9c75f8bc5f72c,1048338
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Queensboro_Map_A.jpg,3cd45a2e45adb8c01bf647624f799088b37a1312c353ca9c9a55be74e9f637ab,753543
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Queensboro_Map_Imagery_A.jpg,70d65b20bb673bf5cbc6cece161c98e09e4c94719cb6603261560e9a6a166aa9,1077273
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Red_Cross_Shelters_Lettersize.jpg,bff4333fdb8c430dc18de573e64eb4f606188d908ca6f3561a3272ab1e3a1179,757971
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Request744_minimum_safety_Asize2.jpg,3aa760d972893a48ed81a102051c4533f3161dcb6e3b83172f6fad7e58ecdc28,1280586
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/RestrictedAreaCP_E_2.jpg,12ce5d916535daca362d51b717ec27b389c6c67e521a8f24540632f09bc69236,1282512
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/SEMORestrictedAreaCP_E.jpg,f6053f9ffa07ee9798d3489634b0dfc90bb522e07f87a8347e85a68cbb429ff9,1358301
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/SI_Freshkills_Landfill_D_2.jpg,7e9f09f1e3751701f26efd9e77d4d48dfafe6474e0dac425caed43789a8a170e,1516962
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_07.jpg,705acc9ddf15cbdcfe43b25683e459b59711df3f1d245110c13bd3f5237f3b58,2379827
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_33_coned.jpg,5f1b999c7b536a49a8725d2b104485075c380efef1e40e99ecb922ceea31b718,464938
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_33_coned_DRAFT_20011024.jpg,5fefbb5546cb18dc22a686a7cf8d9e12dda9b91f5f9bbc6d945dd3b1c7918871,168913
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_33_telephone_20011015.jpg,f0321691023702e1506fefc416f27639d7d20ecac95e99f7e77e658d9a1b4af3,53976
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36.jpg,bc4e3db86938cf4232b33548f2738f5cd259a6de73acad90b9ce0d16e8dbeb78,162031
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_20011017.jpg,8937b1c0de5e004a739575f46db22a8bcfd6c2a016651782af9ba4cd56345080,746067
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_20011029.jpg,f9c35e3d1aa22e213b4b06b13a9daf335a22e9f4a655089af4e910d445a434b7,449067
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_20011205.jpg,cd5c823249ee41b3e899e6f2030e55c85a97457a1bda9222d4687d0afc1a30ef,594874
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0920_2030Hrswcp_E200.jpg,54d229347281cfe05645f2e5cf7980884debe85a67ee1e365d2b65da4a1c3a6e,7693205
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0922_2400Hrswcp_Web.jpg,7966b31b4316efddad0a460560d19cb653262f1c8b2cfe8c99bbc7ea98b9388a,5002465
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0922_2400Hrswcp_Web_Asize.jpg,a755a870c47210aadd77e61333a0fcade0a56350dfe841e573a3a70a9662dc6e,1147834
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0925_1600.jpg,49f7b99e223883d7dc2601602f6199d507f3b9797d66f8c96d201ea93812a1a5,720577
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0925_1600Hrswcp_Web2.jpg,a89bb993b63a9b8222d3b46613ce7b3e3d9f6e70f077151d83df27c95b7cd60b,601501
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0925_draft.jpg,a22a5267ff292e3d80a3d186fc0e4d9977532a26d674b8d49ae0f0d8d341755c,546800
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_36_Ped+Car_Restrictions_0926_1445Hrswcp_Web.jpg,cca22bec9167425cf3bed51ab7a7e843d2408109d04382e0576ac60ad2041ba7,668439
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_4.jpg,efe002fad002a4d0b7e8321fd22e4548615f9ccb68f947dd8e479c4a573a27d0,1844645
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_46_9_19_8x11size_2.jpg,1b1cabe2ee314652ca19e059fe6e05fa36c1066b7d8a0f605cc94a8675296866,1100519
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Standard_73_bldg_status.jpg,950ebc62c611b7efdfa217706196d028bd27d8fcfc7475618ef454b440d81c29,766700
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Throgs_Neck_Map_A.jpg,4c958076b740ab46abcbe6385edf210efdcd521c212993de73beddd683947601,451586
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Throgs_Neck_Map_Imagery_A.jpg,ffa05f2a89d8d1323b5166fd1f820c5e867d4a83ee794abe97f9ce3cc2b2d186,556434
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Thumbs.db,71ceb95163779bf1e1b27524bd9c03b7d337bdf81435e9ab783c5dfb0edbd798,727552
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Triborough_Map_A.jpg,dfd522da6f1cf6ca12e71bf6be57cf833d64718bf05db78344d8f7daf249f490,879080
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Triborough_Map_Imagery_A.jpg,bca22c4fdd0d86d1494fd23c71e9a29176db82099726065042c6c883812f4311,1019619
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Verrezano_Map_A.jpg,4d79506d3fca2abddaeb32d7a05422a0b3216e88098dcce17599f70b9f3b2da6,433369
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Verrezano_Map_Imagery_A.jpg,fa0c66cdbd6902abbb5b440935be20b9ec74080e5b5819f3387ebafa00e6e12a,598179
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/WEFMap1.jpg,c287c620034a5f7920f6623d99b9ada7c059cdf8dea640e5715db16a26812474,517462
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/WEFMap2.jpg,267bd49603e4c96a062f799351a69c4128585032555c78b1ec0bf297badd5df6,725019
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/WTC_Operations2.jpg,171e791d54aa4283b7f0d4975c5f33874f5dd9a962af81e63e29da21e9fe5813,235178
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/WTC_Operations_2.jpg,8fde7d4260b7a2d8459c850047a1df94653175edc912671478c10bfd2876ef98,1653531
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/WTC_before+after.jpg,0453dd9f07bed1754684ae347a99e5af04162e371fa0869b046a546c971c5630,214484
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Whitestone_Map_A.jpg,4bc2ec6e18ad49ea121bee39d4bde4abc90498fe0568a058053ebccbcd63ea11,535257
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Whitestone_Map_Imagery_A.jpg,577d066939ce9ced4580bf0014b7fd09a6b576caf58bce28c2972020c16bf3a1,755899
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Williamsburg_Map_A.jpg,014c2dbbebd92b699c1c584cf2a1d3b90ae1c50677d5e7d0a67306fe81bb45e2,876918
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/Williamsburg_Map_Imagery_A.jpg,2737f344e87fde9f7ad4c0351930cb69c5a9f63489d63e746fa0e04f73a74c6d,952091
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/building_cond_9-28.jpg,27a9b2612709c91e39126b37194e232ccfe34ea05570c948a8816d2a010a5e16,1428047
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/city_property_open _status_0921_2.jpg,28e2c97f7703e73bfebd4d17a3e9f99bdafc4ed274cc00b8609da9bbe46d4767,1014692
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/exempt_properties.jpg,8f96e885fd1062d33ad35716c4b3a3dcbbe3f674f22a122ff8bd986d899572ad,2083474
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/fire_dept.jpg,6e39ad93acf71b39f2be04d0cc1374c3a6e679d1bedc5bd8ef3f9e4e2315d3c8,1088582
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/lidar_100501_full.jpg,1babd05ff4d962ed4a8ec9a89aebebb600f811691f0f7d396514f7fe01ae46d4,1387481
EMDC_FOIL_Disk_2_of_2_WTC_JPEGs_and_PDFs/WTC 2001 - JPGs/lidar_with_buildings.jpg,453d0cb729c3d370b46501701f2a508055ae23d7333b591295950fe49f06d087,380213
